City,Country,date,Year,Month,MPSI,MPSI_star,N_elevated,SmogMonth,SmogMonth_refined,Formula detected Smog,Refined detected Smog
Delhi,India,2023-06,2023,6,-0.513348855328674,-1.499100034265761,0,0,0,No,No
Delhi,India,2023-07,2023,7,-1.1757018186233061,-0.5539018844415953,0,0,0,No,No
Delhi,India,2023-08,2023,8,-0.6403562238245167,-0.6796526451918729,0,0,0,No,No
Delhi,India,2023-09,2023,9,-0.6223896989068101,-0.4126164652648834,0,0,0,No,No
Delhi,India,2023-10,2023,10,0.2082384049536868,0.03916161594134393,0,0,0,No,No
Delhi,India,2023-11,2023,11,0.6938810329290334,-0.13878178850514328,2,0,0,No,No
Delhi,India,2023-12,2023,12,1.0441018773943702,1.9947608713089815,3,1,1,Yes,Yes
Delhi,India,2024-01,2024,1,1.0665884762291318,1.3506245511136266,2,1,0,Yes,No
Delhi,India,2024-02,2024,2,0.20089149115486213,0.4967902300799245,1,0,0,No,No
Delhi,India,2024-03,2024,3,0.29813486877969314,0.2672234930203897,1,0,0,No,No
Delhi,India,2024-04,2024,4,0.44742462519303994,-1.0399539714986537,1,0,0,No,No
Delhi,India,2024-05,2024,5,0.8025727740246144,-0.48591990477247926,2,0,0,No,No
Delhi,India,2024-06,2024,6,-0.16506120755922357,-1.1007454776524688,0,0,0,No,No
Delhi,India,2024-07,2024,7,-1.1837442776542797,-1.1234044156833947,0,0,0,No,No
Delhi,India,2024-08,2024,8,-1.1696378783604824,-0.4678531791709528,0,0,0,No,No
Delhi,India,2024-09,2024,9,-0.8396592859861158,-0.2157358341399807,0,0,0,No,No
Delhi,India,2024-10,2024,10,-0.09452172164970901,0.4896981860785683,0,0,0,No,No
Delhi,India,2024-11,2024,11,0.3687759395195117,0.40367429578358727,2,0,0,No,No
Delhi,India,2024-12,2024,12,0.2682361963089586,1.4256020268418406,1,0,0,No,No
Delhi,India,2025-01,2025,1,0.7173989760167092,1.8673246441814335,3,0,1,No,Yes
Delhi,India,2025-02,2025,2,0.23180117397174538,-0.2070706574263039,0,0,0,No,No
Delhi,India,2025-03,2025,3,0.2183636302564957,-0.5553481850493459,1,0,0,No,No
Delhi,India,2025-04,2025,4,0.7997568889357695,-0.9567565670455349,3,0,0,No,No
Delhi,India,2025-05,2025,5,0.36056352093097493,-0.9536967557041156,1,0,0,No,No
Delhi,India,2025-06,2025,6,-0.09927648360546697,-0.6068558950940719,0,0,0,No,No
Delhi,India,2025-07,2025,7,-0.9947780112105697,-0.6954424994388915,0,0,0,No,No
Delhi,India,2025-08,2025,8,-1.1375420394120452,-0.5720690072673335,0,0,0,No,No
Delhi,India,2025-09,2025,9,-0.890637716922351,-0.9759018093854817,0,0,0,No,No
Delhi,India,2025-10,2025,10,-0.014790074461533426,0.22675521277886213,0,0,0,No,No
Delhi,India,2025-11,2025,11,0.8706958096328463,2.157294320691539,3,0,1,No,Yes
Delhi,India,2025-12,2025,12,-0.061555674132578564,1.271767198759254,1,0,0,No,No
Delhi,India,2026-01,2026,1,0.10284973019895313,2.306985470137133,1,0,0,No,No
Delhi,India,2026-02,2026,2,0.018527749786081536,0.907147302292908,0,0,0,No,No
Delhi,India,2026-03,2026,3,-0.1357635047953363,0.18068286463462663,0,0,0,No,No
Delhi,India,2026-04,2026,4,0.02588362127220235,-0.48091294054288114,0,0,0,No,No
Delhi,India,2026-05,2026,5,-0.015653494130875023,-1.8046986340275781,0,0,0,No,No
Delhi,India,2026-06,2026,6,0.004155897668976572,-1.1092040624942099,1,0,0,No,No
Dhaka,Bangladesh,2018-07,2018,7,-0.46318345542671613,-1.3796715186298876,1,0,0,No,No
Dhaka,Bangladesh,2018-08,2018,8,-0.5400073122594397,-0.994936191844934,0,0,0,No,No
Dhaka,Bangladesh,2018-09,2018,9,-0.4889764493586279,-0.33744869233931235,0,0,0,No,No
Dhaka,Bangladesh,2018-10,2018,10,0.2063825038599199,-0.11294547127332696,0,0,0,No,No
Dhaka,Bangladesh,2018-11,2018,11,1.0693863757348985,2.126125223495949,4,1,1,Yes,Yes
Dhaka,Bangladesh,2018-12,2018,12,0.21639833744996348,0.698876650591513,2,0,0,No,No
Dhaka,Bangladesh,2019-01,2019,1,0.7402646887701338,1.8977521930144912,3,0,1,No,Yes
Dhaka,Bangladesh,2019-02,2019,2,0.17918565560557917,1.6258266084591568,1,0,0,No,No
Dhaka,Bangladesh,2019-03,2019,3,0.6268988307297164,0.629152494887722,1,0,0,No,No
Dhaka,Bangladesh,2019-04,2019,4,0.4685564778319419,-0.08269389051706136,0,0,0,No,No
Dhaka,Bangladesh,2019-05,2019,5,0.46462256896530213,-1.0733356697185077,2,0,0,No,No
Dhaka,Bangladesh,2019-06,2019,6,-0.20876265590271625,-1.3162988477893125,1,0,0,No,No
Dhaka,Bangladesh,2019-07,2019,7,-0.6874742495023026,-1.2330902328573798,0,0,0,No,No
Dhaka,Bangladesh,2019-08,2019,8,-1.0647219113768922,-1.8181001662652694,0,0,0,No,No
Dhaka,Bangladesh,2019-09,2019,9,-0.4768159336845585,-0.1873731329506581,0,0,0,No,No
Dhaka,Bangladesh,2019-10,2019,10,-0.12906028601440428,0.162001558278895,0,0,0,No,No
Dhaka,Bangladesh,2019-11,2019,11,-0.118587435037444,0.5423210384521607,1,0,0,No,No
Dhaka,Bangladesh,2019-12,2019,12,0.20589424961564712,0.8538380470057678,0,0,0,No,No
Dhaka,Bangladesh,2020-01,2020,1,0.25167692647327294,0.19448362641649797,1,0,0,No,No
Dhaka,Bangladesh,2020-02,2020,2,0.8502587643683623,0.6598100170177386,1,0,0,No,No
Dhaka,Bangladesh,2020-03,2020,3,0.7287496443844735,0.5207520068573267,2,0,0,No,No
Dhaka,Bangladesh,2020-04,2020,4,0.6323687711297399,-1.379605828243915,2,0,0,No,No
Dhaka,Bangladesh,2020-05,2020,5,0.18371790544902739,-0.6786871372329615,1,0,0,No,No
Dhaka,Bangladesh,2020-06,2020,6,-0.7053544153600714,-1.469040693058641,0,0,0,No,No
Dhaka,Bangladesh,2020-07,2020,7,-0.9906667941757247,-1.9169036504470576,0,0,0,No,No
Dhaka,Bangladesh,2020-08,2020,8,-0.8283675588367384,-0.29731699362355324,0,0,0,No,No
Dhaka,Bangladesh,2020-09,2020,9,-0.5895573995215969,0.37053513437416313,0,0,0,No,No
Dhaka,Bangladesh,2020-10,2020,10,-0.36200364083493675,1.021442775434346,1,0,0,No,No
Dhaka,Bangladesh,2020-11,2020,11,0.3758817228256063,1.1881497878472516,1,0,0,No,No
Dhaka,Bangladesh,2020-12,2020,12,0.4532960740985798,1.7863809546588174,2,0,0,No,No
Dhaka,Bangladesh,2021-01,2021,1,0.001762688949535507,2.5753336845018024,2,0,1,No,Yes
