City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog,months_in_year,short_year_flag
Delhi,India,2024-08,2024,8,-1.1696378783604824,0,False,False,False,0,No,12,False
Delhi,India,2024-09,2024,9,-0.8396592859861158,0,False,False,False,0,No,12,False
Delhi,India,2024-10,2024,10,-0.09452172164970901,0,False,False,True,0,No,12,False
Delhi,India,2024-11,2024,11,0.3687759395195117,2,False,True,True,0,No,12,False
Delhi,India,2024-12,2024,12,0.2682361963089586,1,False,False,True,0,No,12,False
Delhi,India,2025-01,2025,1,0.7173989760167092,3,False,True,True,0,No,12,False
Delhi,India,2025-02,2025,2,0.23180117397174538,0,False,False,True,0,No,12,False
Delhi,India,2025-03,2025,3,0.2183636302564957,1,False,False,False,0,No,12,False
Delhi,India,2025-04,2025,4,0.7997568889357695,3,False,True,False,0,No,12,False
Delhi,India,2025-05,2025,5,0.36056352093097493,1,False,False,False,0,No,12,False
Delhi,India,2025-06,2025,6,-0.09927648360546697,0,False,False,False,0,No,12,False
Delhi,India,2025-07,2025,7,-0.9947780112105697,0,False,False,False,0,No,12,False
Delhi,India,2025-08,2025,8,-1.1375420394120452,0,False,False,False,0,No,12,False
Delhi,India,2025-09,2025,9,-0.890637716922351,0,False,False,False,0,No,12,False
Delhi,India,2025-10,2025,10,-0.014790074461533426,0,False,False,True,0,No,12,False
Delhi,India,2025-11,2025,11,0.8706958096328463,3,False,True,True,0,No,12,False
Delhi,India,2025-12,2025,12,-0.061555674132578564,1,False,False,True,0,No,12,False
Delhi,India,2026-01,2026,1,0.10284973019895313,1,False,False,True,0,No,6,True
Delhi,India,2026-02,2026,2,0.018527749786081536,0,False,False,True,0,No,6,True
Delhi,India,2026-03,2026,3,-0.1357635047953363,0,False,False,False,0,No,6,True
Delhi,India,2026-04,2026,4,0.02588362127220235,0,False,False,False,0,No,6,True
Delhi,India,2026-05,2026,5,-0.015653494130875023,0,False,False,False,0,No,6,True
Delhi,India,2026-06,2026,6,0.004155897668976572,1,False,False,False,0,No,6,True
Dhaka,Bangladesh,2018-07,2018,7,-0.46318345542671613,1,False,False,False,0,No,6,True
Dhaka,Bangladesh,2018-08,2018,8,-0.5400073122594397,0,False,False,False,0,No,6,True
Dhaka,Bangladesh,2018-09,2018,9,-0.4889764493586279,0,False,False,False,0,No,6,True
Dhaka,Bangladesh,2018-10,2018,10,0.2063825038599199,0,False,False,True,0,No,6,True
Dhaka,Bangladesh,2018-11,2018,11,1.0693863757348985,4,True,True,True,1,Yes,6,True
Dhaka,Bangladesh,2018-12,2018,12,0.21639833744996348,2,False,True,True,0,No,6,True
Dhaka,Bangladesh,2019-01,2019,1,0.7402646887701338,3,False,True,True,0,No,12,False
Dhaka,Bangladesh,2019-02,2019,2,0.17918565560557917,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2019-03,2019,3,0.6268988307297164,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2019-04,2019,4,0.4685564778319419,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2019-05,2019,5,0.46462256896530213,2,False,True,False,0,No,12,False
Dhaka,Bangladesh,2019-06,2019,6,-0.20876265590271625,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2019-07,2019,7,-0.6874742495023026,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2019-08,2019,8,-1.0647219113768922,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2019-09,2019,9,-0.4768159336845585,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2019-10,2019,10,-0.12906028601440428,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2019-11,2019,11,-0.118587435037444,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2019-12,2019,12,0.20589424961564712,0,False,False,True,0,No,12,False
Dhaka,Bangladesh,2020-01,2020,1,0.25167692647327294,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2020-02,2020,2,0.8502587643683623,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2020-03,2020,3,0.7287496443844735,2,False,True,False,0,No,12,False
Dhaka,Bangladesh,2020-04,2020,4,0.6323687711297399,2,False,True,False,0,No,12,False
Dhaka,Bangladesh,2020-05,2020,5,0.18371790544902739,1,False,False,False,0,No,12,False
Dhaka,Bangladesh,2020-06,2020,6,-0.7053544153600714,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2020-07,2020,7,-0.9906667941757247,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2020-08,2020,8,-0.8283675588367384,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2020-09,2020,9,-0.5895573995215969,0,False,False,False,0,No,12,False
Dhaka,Bangladesh,2020-10,2020,10,-0.36200364083493675,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2020-11,2020,11,0.3758817228256063,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2020-12,2020,12,0.4532960740985798,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2021-01,2021,1,0.001762688949535507,2,False,True,True,0,No,12,False
Dhaka,Bangladesh,2021-02,2021,2,0.6546423901227783,1,False,False,True,0,No,12,False
Dhaka,Bangladesh,2021-03,2021,3,0.7134712925945139,2,False,True,False,0,No,12,False
Dhaka,Bangladesh,2021-04,2021,4,0.6411056004418304,3,False,True,False,0,No,12,False
