City,date,Year,Month,N_elevated,cond2_Nelev,cond3_window,MPSI_equal,Smog_equal,MPSI_PCA,Smog_PCA,MPSI_entropy,Smog_entropy,MPSI_CRITIC,Smog_CRITIC
Delhi,2018-07,2018,7,1,False,False,-0.4622956644300318,0,-0.6979508654005566,0,-0.46500998033517305,0,-0.28155756238348933,0
Delhi,2018-08,2018,8,0,False,False,-0.6801948255190686,0,-0.8123607112647827,0,-0.7071577237221489,0,-0.5678857457079558,0
Delhi,2018-09,2018,9,0,False,False,-0.45117523533354575,0,-0.596843332682936,0,-0.49047854977281463,0,-0.3463415011196817,0
Delhi,2018-10,2018,10,2,True,True,0.7480618622183628,0,0.7613272062616443,0,0.7832455849859823,0,0.7135908326636156,0
Delhi,2018-11,2018,11,1,False,True,0.43287937377381946,0,0.6154947511531613,0,0.47074927233931074,0,0.2819300498835221,0
Delhi,2018-12,2018,12,2,True,True,0.4127244892904662,0,0.7303329519334719,0,0.4086513965048459,0,0.20026392666399137,0
Delhi,2019-01,2019,1,1,False,True,0.3340392352057273,0,0.5284164972103734,0,0.31950164338352105,0,0.190220833734439,0
Delhi,2019-02,2019,2,2,True,True,0.06143586782632919,0,0.2707863957073974,0,0.06716768006822577,0,-0.029697552545786418,0
Delhi,2019-03,2019,3,0,False,False,-0.07702715069880008,0,-0.16483119024372778,0,-0.13228305279258337,0,-0.03337068898698311,0
Delhi,2019-04,2019,4,1,False,False,0.4532796432876542,0,0.40868030858102194,0,0.42660213425209426,0,0.41756082659199667,0
Delhi,2019-05,2019,5,1,False,False,0.3840700941932137,0,0.2245755064156725,0,0.35657599808346896,0,0.43655363313359385,0
Delhi,2019-06,2019,6,1,False,False,0.2661280511244133,0,0.09445290578074671,0,0.27004974656129166,0,0.383714335200762,0
Delhi,2019-07,2019,7,0,False,False,-0.49793287556282173,0,-0.7651152693569435,0,-0.5437133918297986,0,-0.332122514545554,0
Delhi,2019-08,2019,8,0,False,False,-0.9016735331765766,0,-1.0209036546830073,0,-0.9201259910245609,0,-0.7907567581498489,0
Delhi,2019-09,2019,9,0,False,False,-0.8711146135163351,0,-0.8652348297516191,0,-0.8446779037441253,0,-0.827789700533859,0
Delhi,2019-10,2019,10,1,False,True,0.3102052688913112,0,0.44676582230744544,0,0.3788596090826012,0,0.1857132880630819,0
Delhi,2019-11,2019,11,0,False,True,-0.6303851446357434,0,-0.471503897719515,0,-0.5564958012189091,0,-0.7555982249729267,0
Delhi,2019-12,2019,12,4,True,True,1.1689751570616296,1,1.313911405752154,1,1.1785393291787756,1,1.155572523011089,1
Delhi,2020-01,2020,1,2,True,True,0.30302023090848257,0,0.398272924690374,0,0.26991375757771396,0,0.28075110019503446,0
Delhi,2020-02,2020,2,1,False,True,0.44048736349587037,0,0.4028762696638081,0,0.43573761960280505,0,0.5082896195218644,0
Delhi,2020-03,2020,3,1,False,False,0.07875629561747605,0,-0.102801415331402,0,0.06550252323681116,0,0.24160405714742134,0
Delhi,2020-04,2020,4,1,False,False,-0.0530690820497193,0,-0.32722238865256553,0,-0.11061224255317495,0,0.09187389112526789,0
Delhi,2020-05,2020,5,1,False,False,0.2458162790697104,0,0.09078109847785203,0,0.2176503303281615,0,0.29087212497471343,0
Delhi,2020-06,2020,6,1,False,False,-0.13375722272942864,0,-0.25234347360146403,0,-0.12804032840860652,0,-0.08549661178530304,0
Delhi,2020-07,2020,7,0,False,False,-1.0263315827731458,0,-1.1091157522192885,0,-0.9903406106113073,0,-0.9418336468938919,0
Delhi,2020-08,2020,8,0,False,False,-1.1720023398725015,0,-1.1988150889766476,0,-1.1837633510239765,0,-1.1367293127823144,0
Delhi,2020-09,2020,9,0,False,False,-0.5535298520835962,0,-0.4892640570374822,0,-0.5601971315223208,0,-0.5966966390329824,0
Delhi,2020-10,2020,10,2,True,True,0.46014091882907693,0,0.6561911363414401,0,0.5224903627723549,0,0.2708568535831394,0
Delhi,2020-11,2020,11,4,True,True,0.9134289570391718,0,1.1056228597876767,1,0.939615280319475,0,0.7464339000853246,0
Delhi,2020-12,2020,12,2,True,True,0.4970400345486039,0,0.8258178868576997,0,0.5220437902820652,0,0.3300746638617268,0
Delhi,2021-01,2021,1,1,False,True,-0.3222959423269555,0,0.02137004324941863,0,-0.16136304515373784,0,-0.4530743074227362,0
Delhi,2021-02,2021,2,2,True,True,0.3544829099174553,0,0.5338950293341662,0,0.3559190873391758,0,0.27731500739229814,0
Delhi,2021-03,2021,3,0,False,False,-0.06519216765067531,0,-0.18527147820743067,0,-0.0585146187572888,0,0.03811689590423758,0
Delhi,2021-04,2021,4,1,False,False,0.4028957106272477,0,0.260431538444618,0,0.3534366360314262,0,0.48107227219733,0
Delhi,2021-05,2021,5,1,False,False,-0.1776024036557714,0,-0.304900651934319,0,-0.22036885913371226,0,-0.09502186564164783,0
Delhi,2021-06,2021,6,0,False,False,-0.3718526933491628,0,-0.5189177676726691,0,-0.3829953350164414,0,-0.26198305485125184,0
Delhi,2021-07,2021,7,0,False,False,-0.5443859127160025,0,-0.7043086405364871,0,-0.5407854450949455,0,-0.431398990041358,0
Delhi,2021-08,2021,8,0,False,False,-0.5727664349209319,0,-0.7013649310969413,0,-0.5777261952201113,0,-0.4974313758805519,0
Delhi,2021-09,2021,9,0,False,False,-0.7149525454135678,0,-0.8365600984226975,0,-0.7705156760936833,0,-0.6371692748986847,0
Delhi,2021-10,2021,10,1,False,True,0.10188247602481856,0,0.1567391148126094,0,0.0971607497462803,0,0.017890761536251465,0
Delhi,2021-11,2021,11,4,True,True,1.1165264019245371,1,1.4251144795145245,1,1.1667497479520619,1,0.8392226413140573,0
Delhi,2021-12,2021,12,2,True,True,0.7932606015390136,0,0.8537733625152106,0,0.739002953400981,0,0.7224612903920627,0
Delhi,2022-01,2022,1,2,True,True,0.5785579996731834,0,0.7690937641009992,0,0.6805227177927348,0,0.5526146014814457,0
Delhi,2022-02,2022,2,1,False,True,0.41252948439373177,0,0.3483204130647233,0,0.4092617341830399,0,0.4870967484206838,0
Delhi,2022-03,2022,3,0,False,False,0.3419017532958272,0,0.2786580787121591,0,0.3222149756404386,0,0.3639120767599094,0
Delhi,2022-04,2022,4,2,True,False,0.5142980905120196,0,0.35687674944070263,0,0.48219300706138807,0,0.5784217329954037,0
Delhi,2022-05,2022,5,2,True,False,0.6961457839098001,0,0.5616347093792395,0,0.699129301312423,0,0.7184269888423003,0
Delhi,2022-06,2022,6,0,False,False,0.00042734297668520216,0,-0.15558462654874922,0,-0.03454535453338524,0,0.07969813430540965,0
Delhi,2022-07,2022,7,0,False,False,-1.0736727532495143,0,-1.2194449923344584,0,-1.0701209339366675,0,-0.9379124104420375,0
Delhi,2022-08,2022,8,0,False,False,-1.1327826432154124,0,-1.2556689303188706,0,-1.184635919693505,0,-1.0453832767599596,0
Delhi,2022-09,2022,9,0,False,False,-0.6466671087109986,0,-0.6965564160286531,0,-0.664679654837615,0,-0.596927397270022,0
Delhi,2022-10,2022,10,1,False,True,0.0010480319375398423,0,0.13156531888124606,0,0.08289588860899827,0,-0.10219941420365848,0
Delhi,2022-11,2022,11,0,False,True,0.00977277212962981,0,0.2501141146388495,0,0.04646955599415374,0,-0.1518065448697774,0
Delhi,2022-12,2022,12,2,True,True,0.298441246347508,0,0.630991817012813,0,0.2312946824079961,0,0.054058760740300874,0
Delhi,2023-01,2023,1,2,True,True,0.24476493070703628,0,0.5554312837835239,0,0.2451457338852388,0,0.049080311872516214,0
Delhi,2023-02,2023,2,0,False,True,0.039515112216103404,0,0.22599549541329467,0,0.019610249591777935,0,-0.12764356873212515,0
Delhi,2023-03,2023,3,0,False,False,-0.10947400329200496,0,-0.11970196505145067,0,-0.09253190588125865,0,-0.06612786364246959,0
Delhi,2023-04,2023,4,1,False,False,0.5300197868100887,0,0.312983763492068,0,0.4651793410898951,0,0.6757670873381825,0
Delhi,2023-05,2023,5,2,True,False,0.3007494549649969,0,0.04487050450940619,0,0.25262835059981414,0,0.43429591527267286,0
Delhi,2023-06,2023,6,0,False,False,-0.5133488553286739,0,-0.7162224972287826,0,-0.5252408791611268,0,-0.37122990374129944,0
Delhi,2023-07,2023,7,0,False,False,-1.1757018186233061,0,-1.2152515422760897,0,-1.1669917982988227,0,-1.107538612214075,0
Delhi,2023-08,2023,8,0,False,False,-0.6403562238245166,0,-0.7372172685400384,0,-0.6746867082655755,0,-0.6024353566336498,0
Delhi,2023-09,2023,9,0,False,False,-0.6223896989068101,0,-0.6427127722142237,0,-0.6047618434834771,0,-0.5875001848654167,0
Delhi,2023-10,2023,10,0,False,True,0.20823840495368684,0,0.23210156455229508,0,0.21221059930457842,0,0.15858753518449747,0
Delhi,2023-11,2023,11,2,True,True,0.6938810329290335,0,0.7654883343705626,0,0.7921107656879871,0,0.6154713273414983,0
Delhi,2023-12,2023,12,3,True,True,1.0441018773943704,1,1.2942350991894365,1,1.0773280949309734,1,0.9292733128196738,0
Delhi,2024-01,2024,1,2,True,True,1.0665884762291318,1,1.2355503772285523,1,1.116584270297327,1,1.0419566997638097,1
Delhi,2024-02,2024,2,1,False,True,0.20089149115486216,0,0.17731754437478706,0,0.14425706462089236,0,0.23164431794853527,0
Delhi,2024-03,2024,3,1,False,False,0.29813486877969314,0,0.22220066634471175,0,0.21886337219708124,0,0.32289483289419785,0
Delhi,2024-04,2024,4,1,False,False,0.44742462519303994,0,0.18688163389599452,0,0.3856507060428036,0,0.6148638267202438,0
Delhi,2024-05,2024,5,2,True,False,0.8025727740246142,0,0.7107660387826102,0,0.8106096171192816,0,0.8156572446153656,0
Delhi,2024-06,2024,6,0,False,False,-0.16506120755922354,0,-0.2907793189592962,0,-0.14916928916524072,0,-0.08857068142047145,0
