,equal,PCA,entropy,CRITIC
NO2,0.2,0.2601410012298222,0.2376034204757059,0.20066826631320012
CO,0.2,0.2531448199789955,0.22422227780749246,0.1552443829308561
SO2,0.2,0.22245669282792788,0.15169630695313877,0.16420020136824356
O3,0.2,0.10713352135374982,0.1918950900493977,0.27783809704082607
AerosolIndex,0.2,0.15712396460950454,0.1945829047142652,0.2020490523468742
SUM,1.0,0.9999999999999999,1.0,1.0
